GeneName	SW480_T0_Rep1_TPM	SW480_T0_Rep2_TPM	SW480_T24_Rep1_TPM	SW480_T24_Rep2_TPM	SW480_T48_Rep1_TPM	SW480_T48_Rep2_TPM	SW480_T72_Rep1_TPM	SW480_T72_Rep2_TPM
A1BG	0.42	0.21	0.24	0.34	0.14	0.17	0.49	0.17
A1CF	1.31	1.74	1.8	1.94	2.12	2.11	2.34	1.54
A2M	0.64	1.26	0.36	0.58	0.99	0.94	1.89	0.69
A2ML1	0	0	0.09	0.09	0.27	0.02	0.3	0
A3GALT2	0	0	0.05	0	0.05	0	0.05	0
A4GALT	0.87	1.09	0.8	1.11	0.81	1.67	1.33	1.31
A4GNT	0	0.03	0.07	0.02	0	0	0	0
AAAS	38.26	37.52	41.89	35.64	36.63	38.02	35.65	27.07
AACS	20.66	21.99	19.6	18.61	20.94	21.46	18	14.71
AADAC	0	0	0	0	0.08	0	0	0
AADACL2	0	0.07	0	0	0	0	0.02	0.01
AADACL3	0	0	0	0.02	0.04	0.02	0	0
AADACL4	0	0	0	0	0.07	0	0	0
AADAT	8.71	9.57	7.89	7.89	6.52	7.49	8.54	10.07
AAGAB	56.36	55.32	49.93	46.58	55.71	52.34	50.31	36.54
AAK1	6.15	6.27	5.25	5.33	5.99	6.39	4.95	5.11
AAMDC	20.85	16.82	17.72	20.8	26.39	25.91	21.03	17.13
AAMP	52.46	48.38	43.38	45.09	48.27	43.12	49.3	31.77
AANAT	0.34	0.43	0.6	0.21	0.57	0.32	0.77	0.19
AAR2	18.82	19.62	17.82	17.51	20.98	20.89	18.94	14.71
AARD	0	0	0	0	0	0	0	0
AARS2	12.25	11.98	11.48	11.7	9.83	9.94	9.83	6.73
AARSD1	40.41	36.54	32.29	33.19	30.46	26.07	24.82	21.4
AASDH	6.06	5.01	4.47	6.2	5.81	6.84	5.28	4.35
AASDHPPT	27.19	27.44	32.7	42.29	45.25	44.68	31.61	21.33
AASS	1.54	1.72	1.42	1.36	2.36	2.14	5.14	3.96
AATF	48.1	46.98	40.49	41.91	44.65	41.38	37.3	30.11
AATK	5.7	5.45	7.78	7.18	4.27	5.03	2.96	2.25
ABAT	2.63	2.97	3.3	3.05	6.19	6.57	9.41	7.53
ABCA1	1.3	1.32	1.67	1.68	3.06	3.06	5.56	4.12
ABCA10	0.02	0.19	0.04	0.16	0.17	0.05	0.1	0.16
ABCA12	0.8	0.95	0.9	0.93	0.73	0.6	0.49	0.32
ABCA13	0.02	0	0.02	0.01	0.07	0.06	0.08	0.02
ABCA2	23.99	20.38	20.97	15.54	16.02	15.53	17.63	13.6
ABCA3	19.09	18.31	17.1	16.96	15.25	15.05	11.8	9.12
ABCA4	0.97	0.86	0.96	0.75	1.19	1.15	1.54	1.28
ABCA5	7.81	7.92	6.82	5.92	8.13	7.8	7.65	5.85
ABCA6	0	0.01	0.06	0.07	0.02	0.03	0.05	0.04
ABCA7	6.05	5.1	6.03	4.99	3.85	4.64	3.86	3.42
ABCA8	0	0	0	0	0.07	0.02	0.09	0.09
ABCA9	0	0	0.04	0	0	0	0	0.01
ABCB1	26.15	25.52	21.67	23.68	31.11	32.1	35.61	24.73
ABCB10	12.68	13.25	11.37	12.98	12.87	12.7	9.21	6.47
ABCB11	0	0	0	0	0	0.01	0	0
ABCB4	2.94	2.4	2.24	2	3.91	3.65	5.13	3.64
ABCB5	0.09	0	0.02	0	0.08	0.09	0.02	0.05
ABCB6	11.31	10.52	9.66	10.59	8.26	7.55	6.47	6.23
ABCB7	32.42	37.57	35.44	34.43	30.99	31.86	27.38	19.31
ABCB8	11.68	11.79	12.77	11.46	8.94	10.23	9.47	8.29
ABCB9	3.1	3.28	2.3	3.21	2.74	2.79	3.52	2.57
ABCC1	9.45	10.46	8.69	7.16	8.64	8.89	7.38	7.35
ABCC10	8.22	6.1	7.48	6.39	7.6	7.25	9.32	4.21
ABCC11	0.04	0.31	0.05	0.13	0.12	0.12	0.14	0.24
ABCC12	0.02	0.05	0.31	0.18	0.06	0.07	0.08	0.28
ABCC2	1.09	0.94	1.12	1.26	1.89	2.05	3.6	3.01
ABCC3	3.81	4.26	4.53	4.79	5.12	6.34	6.76	4.96
ABCC4	8.27	8.45	6.66	6.8	6.26	6.02	4.05	2.66
ABCC5	9.83	10.71	10.07	9.52	9.14	10.75	12.17	9.38
ABCC6	0.47	0.84	0.4	0.64	1.26	2.6	2.49	1.97
ABCC8	1.7	0.92	0.38	0.81	1.18	0.67	1.14	0.31
ABCC9	0.09	0.09	0.03	0.07	0.05	0.07	0.1	0.04
ABCD1	9.09	9.82	8.75	8.27	10.38	9.62	10.64	9.08
ABCD2	0	0.01	0.01	0.01	0.02	0.01	0.01	0.03
ABCD3	22.31	23.75	19.29	19.8	18.47	19.43	11.21	8.23
ABCD4	33.39	33.89	32.76	31.98	28.22	26.8	32.37	27.34
ABCE1	83.05	88.21	78.34	80.64	76.63	73.07	52.05	37.67
ABCF1	60.34	58.96	53.37	50.02	57.57	54.98	62.4	46.49
ABCF2	47.98	46.27	41.42	39.91	43.17	40.29	41.23	31.8
ABCF3	18.96	19.61	18.31	18.6	20.98	19.26	20.68	15.29
ABCG1	12.45	10.75	12.3	11.38	12.35	12.52	8.81	6.69
ABCG2	0.04	0.09	0.05	0.14	0.19	0.25	0.19	0.23
ABCG4	0.13	0.13	0.15	0.08	0.27	0.07	0.27	0.16
ABCG5	0.03	0.02	0.02	0.01	0	0.04	0	0
ABCG8	0.02	0.02	0	0.01	0	0.02	0	0
ABHD1	6.74	4.78	7.92	6.99	7.47	6.6	9.91	8.43
ABHD10	15.35	16.18	14.47	17.07	18.9	17.29	17.77	11.64
ABHD11	14.25	15.53	13.42	14.88	12.49	13.41	22.05	17.18
ABHD12	20.11	21.14	18.42	20.3	21.69	19.63	18.35	13.98
ABHD12B	24.37	27.29	34.73	34.77	42.15	43.1	42.58	35.34
ABHD13	4.63	4.87	4.44	4.6	4.71	4.98	4.09	2.82
ABHD14A	11.17	11.94	12.61	12.13	14.94	13.69	12.44	12.22
ABHD14A-ACY1	1.99	3.02	3.3	3.28	1.43	1.41	3.1	2.16
ABHD14B	19.12	19.49	19.22	19.06	19.22	17.83	23.53	18.22
ABHD15	2.84	2.67	3	2.57	2.94	3.4	2.74	2.02
ABHD16A	26.16	26.99	23.8	25.56	24.36	26.11	23.84	17.58
ABHD16B	0	0	0	0	0	0	0	0
ABHD17A	8.67	8.11	7.16	7.18	8.08	6.65	7.17	5.78
ABHD17B	7.45	9.01	7.3	8.22	8.67	9.45	7.68	5.45
ABHD17C	14.39	16.31	12.63	12.84	13.15	13.71	8.31	7.4
ABHD18	8.83	8.7	8.34	8.36	8.66	10.18	8.92	7.52
ABHD2	63.56	66.89	75.14	67.18	108.04	105.9	163.4	118.87
ABHD3	9.94	10.42	7.12	7.07	7.92	9.2	8.53	5.51
ABHD4	3.32	3.47	3.27	2.46	2.92	3.14	2.72	2.42
ABHD5	7.73	7.35	6.87	7.06	9.07	8.58	6.57	6.05
ABHD6	3.06	3.61	3	3.69	3.24	3.35	2.81	2.5
ABHD8	2.6	2.42	2.47	2.83	2.51	2.22	2.56	2.07
ABI1	17	16.73	14.94	14.08	17.01	16.16	17.07	13.8
ABI2	32.61	35.59	30	28.46	36.05	34.74	36.53	30.42
ABI3	0.14	0.25	0.36	0.07	0.07	0.08	0	0.09
ABI3BP	0.06	0.19	0.09	0.33	0.05	0.24	0.23	0.07
ABL1	16.22	18.83	16.6	15.92	15.1	16.03	15.7	12.03
ABL2	4.29	4.8	3.94	3.42	3.26	3.53	3.78	3.41
ABLIM1	28.99	26.42	31	29.33	31.47	26.68	23.43	15.76
ABLIM2	5.42	5.51	5.86	5.13	6.22	6.45	2.7	2.4
ABLIM3	0.85	1	0.59	0.73	0.97	0.77	1.02	0.65
ABO	0.15	0.14	0.12	0.09	0.15	0.13	0.1	0.14
ABR	52.46	46.84	48.52	46.98	47.7	47.85	37.6	28.69
ABRA	0.16	0.2	0.19	0.12	0.15	0.18	0.21	0.19
ABRACL	4.53	5.44	6.02	5.72	8.44	7.28	10	8.03
ABT1	9.9	10.49	9.21	9.15	10.19	10.2	8.52	5.6
ABTB1	1.24	1.75	0.9	0.88	1.37	1.22	1.93	0.89
ABTB2	2.62	2.83	2.57	2.18	2.81	2.65	2.71	2.51
ACAA1	14.51	14.05	14.38	13.46	13.32	13.36	17.58	15.12
ACAA2	42.37	44.84	47.32	45.02	52.48	52.35	58.86	40.44
ACACA	24.5	23.41	18.91	19.17	22.37	21.73	20.85	14.46
ACACB	1.87	1.94	2.39	1.84	2.26	1.5	2.54	1.16
ACAD10	13.44	15.28	13.38	10.96	12.05	11.27	13.64	11.62
ACAD11	19.79	17.88	18.44	18.37	15	16.66	15.02	12.42
ACAD8	21.98	23.06	20.31	21.64	17.88	21.49	22.54	16.77
ACAD9	18.89	19.21	13.73	14.32	15.31	14.37	13.93	10.67
ACADL	1.3	1.12	1	0.65	1.39	0.97	0.85	0.65
ACADM	24.78	24.41	27.34	28.93	37.01	37.28	33.43	25.01
ACADS	6.51	6.56	5.92	5.66	6.56	6.39	6.94	4.21
ACADSB	9.12	9.78	8.12	8.8	11.31	8.78	12.43	8.45
ACADVL	326.25	322.41	335.19	318.47	314.95	304.4	447.61	328.5
ACAN	0	0	0.01	0	0.1	0.01	0.02	0
ACAP1	1.99	0.92	1.14	2.13	1.59	2.18	3.4	1.07
ACAP2	13.64	14.12	11.16	11.79	11.3	12.31	11.52	9.29
ACAP3	85.91	86.77	87.82	77.55	62.61	62.2	56.08	44.46
ACAT1	81.62	90.33	80.21	84.91	92.29	97.16	90.13	72.7
ACAT2	22.06	21.79	20.46	21.59	22.51	20.83	20.49	13.93
ACBD3	22.14	21.59	26.12	24.82	23.46	22.75	20.36	16.05
ACBD4	1.92	2.09	2.87	2.65	2.65	2.19	3.69	2.19
ACBD5	8.74	8.9	8.91	9.29	10.57	11.45	13.04	10.11
ACBD6	42.12	42.2	40.58	37.13	38.83	38.58	28.89	23.7
ACBD7	6.82	7.01	6.98	5.72	6.26	7.08	6.34	5.64
ACCS	18.89	17.96	16.07	14.37	14.45	14.87	29.19	22.31
ACCSL	0	0	0	0.02	0	0.03	0	0
ACD	13.09	13.65	14.18	13.07	12.27	10.15	11.2	7.2
ACE	1.81	3.07	2.3	1.84	2.67	3.56	4.23	1.84
ACE2	0.11	0.05	0.07	0.19	0.15	0.08	0.2	0.02
ACER1	0	0.03	0	0.02	0	0.04	0	0
ACER2	0.77	0.55	0.41	0.37	0.57	0.56	0.82	0.51
ACER3	10.18	10.68	10.99	8.98	11.48	11.31	10.9	8.41
ACHE	0.45	0.17	0.2	0.19	0.44	0.13	0.12	0.14
ACIN1	75.39	75.74	74.65	68.11	62.11	57.34	78.28	64.53
ACKR1	0	0	0	0	0	0	0	0
ACKR2	0.02	0	0.1	0.11	0.03	0.07	0.03	0.13
ACKR3	0.09	0.15	0.07	0.04	0.26	0.38	0.08	0.14
ACKR4	0.1	0.2	0.07	0.08	0.28	0.09	0.13	0.13
ACLY	54.85	56.46	48.04	46.76	51.35	55.13	53.91	39.24
